"edge_id","source","target","length","car","car.reverse","bike","bike.reverse","foot","WKT","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l17.1","l19","l20","l21","l22","l23","l24","l25","l26","l27","l28","l29","l30","l31","l32","l33","l34","l35","l36","l37","l38","l39","l40","l41","l42","l43","l44","l45","l46","l47","l48","l49","l50","l51","l52","l53","l54","l55","l56","l57","l58","l59","l60","l61","l62","l63","l64","l65","saftyScore","edgeBetweenness","f","betweenness"
33,104949802,105060263,102.394218445,1,1,2,2,1,"LINESTRING(-79.9340311 40.4427173","-79.9329246 40.4430899)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,22,93,93
220,104857358,105013041,90.9756622314,2,2,2,2,1,"LINESTRING(-79.9340787 40.4376995","-79.9333504 40.437705","-79.9331921 40.4377295","-79.9330303 40.4377979)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,785,446,446
160,1713340600,1713340581,6.26932477951,0,0,5,5,1,"LINESTRING(-79.9416639 40.4426596","-79.9416435 40.4427138)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,92,80,80
304,4961818951,2919123583,3.94067263603,0,0,5,5,1,"LINESTRING(-79.9434287 40.4431784","-79.943417 40.4432127)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,4,24,24
98,302756806,302756874,51.2717399597,0,0,5,5,1,"LINESTRING(-79.9432916 40.4412093","-79.9434387 40.440762)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,161.666666666667,140,140
164,1713340588,1713340582,58.070766449,0,0,5,5,1,"LINESTRING(-79.9418854 40.4420719","-79.9416962 40.4425739)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,82,96,96
234,924785117,3103583474,65.3304748535,1,1,2,2,1,"LINESTRING(-79.9359238 40.439047","-79.9358951 40.439011","-79.9358665 40.4389778","-79.9357459 40.4389176","-79.9355224 40.4388183","-79.9353979 40.4387656","-79.9352971 40.4387175)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,204,25,25
208,3192430401,107685511,110.70790863,1,1,2,2,1,"LINESTRING(-79.9399056 40.4405881","-79.9392445 40.4404927","-79.9389563 40.4403006","-79.9387515 40.4401886)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,9,16,16
125,302967451,302967357,25.2360095978,0,0,5,5,1,"LINESTRING(-79.9412457 40.4427172","-79.9411646 40.4429356)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,363,68,68
193,106313696,1783643324,10.8247060776,0,0,5,5,1,"LINESTRING(-79.9395563 40.4418205","-79.9396177 40.4419059)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,44,217,217
210,2726467783,270186904,10.335310936,0,0,5,5,1,"LINESTRING(-79.9426087 40.4402584","-79.9426392 40.4401684)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,9,20,20
114,302756791,302759445,51.6639060974,0,0,5,5,1,"LINESTRING(-79.9428269 40.441115","-79.9429814 40.4406655)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,137,240,240
255,3527071109,3527071112,45.8409538269,0,0,5,5,1,"LINESTRING(-79.9439458 40.4392559","-79.9438244 40.4391789","-79.9437164 40.4390846","-79.9436488 40.4390522","-79.9435309 40.4389956)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,56,18,18
0,104382834,104382840,38.1127090454,1,1,2,2,1,"LINESTRING(-79.9373152 40.4394007","-79.9371968 40.4397314)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,758,758
181,1781186425,1781186413,16.4421806335,0,0,5,5,1,"LINESTRING(-79.9401961 40.4417248","-79.9401028 40.4415951)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,47,47
8,104836312,104836324,194.889358521,1,1,2,2,1,"LINESTRING(-79.9348697 40.4397215","-79.9327476 40.4404022)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,5,5
277,302984579,302984603,376.975799561,0,0,5,5,1,"LINESTRING(-79.9430115 40.4358346","-79.9431489 40.4358346","-79.9433291 40.4358346","-79.9434665 40.4358412","-79.9436209 40.4358542","-79.943784 40.4359065","-79.9439385 40.4359718","-79.9441016 40.4360437","-79.9442818 40.4361351","-79.9444278 40.4362397","-79.9445393 40.4363115","-79.9447024 40.4364226","-79.9448912 40.4365532","-79.9452861 40.4368734","-79.9456208 40.4371608","-79.9457839 40.4373502","-79.945844 40.4374678","-79.945844 40.437592","-79.945801 40.4376965","-79.9456723 40.4377945","-79.9455865 40.4378794","-79.9455607 40.4379447)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,224,224
65,106313719,105012956,80.1163330078,1,1,2,2,1,"LINESTRING(-79.9384198 40.4423063","-79.9376024 40.4426698)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,1850,1850
156,4961818966,1782739734,24.6854629517,1,1,2,2,1,"LINESTRING(-79.9415673 40.4437372","-79.9414999 40.4439156","-79.9414856 40.4439503)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,79,79
9,104857358,104857368,78.34790802,1,1,2,2,1,"LINESTRING(-79.9340787 40.4376995","-79.9339051 40.4370074)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,10.8333333333333,10.8333333333333
100,302755937,302757135,17.9143695831,0,0,5,5,1,"LINESTRING(-79.9429728 40.4421144","-79.9430375 40.441961)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,88.3333333333333,88.3333333333333
267,3643294766,3643294763,29.8269252777,1,1,2,2,1,"LINESTRING(-79.9339972 40.4379576","-79.9341814 40.4379521","-79.9342791 40.4380562)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,34,34
204,4846860755,303189712,95.2144927979,0,0,5,5,1,"LINESTRING(-79.9422317 40.4391772","-79.9423718 40.4391624","-79.9426236 40.4391726","-79.9428156 40.4391902","-79.9430241 40.439195","-79.9431442 40.4392146","-79.9432215 40.4392538","-79.9433054 40.4393123)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,260,260
150,104949824,105060288,104.046401978,2,2,2,2,1,"LINESTRING(-79.9322551 40.4394792","-79.9311225 40.4398432)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,876,876
186,1781186440,1781186425,52.6022071838,0,0,5,5,1,"LINESTRING(-79.9396509 40.441952","-79.9401961 40.4417248)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,221,221
