"edge_id","length","car","car.reverse","bike","bike.reverse","foot","saftyScore","betweenness","Speed_limit","Hilliness","lss","logbetweenness","residuals","predicted","logbetweennesst"
98,51.2717399597,0,0,5,5,1,1,140,25,"flat",1,5.88934,0.00537231679379957,0.998221066458028,0
164,58.070766449,0,0,5,5,1,1,96,25,"flat",1,5.88934,0.00487539373813184,0.998349878394576,0
234,65.3304748535,1,1,2,2,1,1,25,35,"flat",1,0,0.00311541676339977,0.995984202786788,0
208,110.70790863,1,1,2,2,1,1,16,25,"flat",1,0,0.00169099969624309,0.997367364727385,0
125,25.2360095978,0,0,5,5,1,1,68,25,"flat",1,5.88934,0.00778664728899381,0.997627970706543,0
193,10.8247060776,0,0,5,5,1,1,217,25,"flat",1,5.88934,0.00955828329086272,0.997218668399723,0
210,10.335310936,0,0,5,5,1,1,20,15,"flat",1,0,0.010000395697909,0.99286996863639,0
114,51.6639060974,0,0,5,5,1,1,240,25,"flat",1,5.88934,0.00534233210508916,0.998228761861284,0
255,45.8409538269,0,0,5,5,1,1,18,25,"flat",1,0,0.00580517184447138,0.995541013978705,0
0,38.1127090454,1,1,2,2,1,1,758,25,"flat",1,5.851331,0.00477730925673914,0.990714988578459,5.851331
181,16.4421806335,0,0,5,5,1,1,47,20,"flat",1,0,0.00899521574207784,0.993589292889256,0
8,194.889358521,1,1,2,2,1,1,5,30,"flat",1,0,0.0010802291756985,0.9990020623186,0
277,376.975799561,0,0,5,5,1,1,224,15,"flat",1,5.88934,5.24325545991911e-05,0.999947676117392,0
65,80.1163330078,1,1,2,2,1,1,1850,15,"flat",1,5.851331,0.00272339249561337,0.993671235562828,5.851331
156,24.6854629517,1,1,2,2,1,1,79,25,"flat",1,5.88934,0.0057865008897251,0.99999999987287,0
9,78.34790802,1,1,2,2,1,1,10.8333333333333,25,"flat",1,0,0.00268759902558269,0.996237009422983,0
100,17.9143695831,0,0,5,5,1,1,88.3333333333333,45,"flat",1,5.88934,0.00800419914808803,0.997802682282579,0
267,29.8269252777,1,1,2,2,1,1,34,25,"flat",1,0,0.00537718807232035,0.993577073840876,0
204,95.2144927979,0,0,5,5,1,1,260,25,"flat",1,5.88934,0.00286695148000193,0.998905752597653,0
150,104.046401978,2,2,2,2,1,1,876,25,"flat",1,5.851331,0.0287603379661929,0.900448859116521,5.851331
186,52.6022071838,0,0,5,5,1,1,221,25,"flat",1,5.88934,0.00527126427936919,0.998247039369702,0
306,4.38350296021,0,0,5,5,1,1,139,45,"flat",1,5.88934,0.00970270104404014,0.997448385194051,0
52,8.47320842743,1,1,2,2,1,1,60,30,"flat",1,5.88934,0.0071524781572283,0.999999999853751,0
202,420.825836182,0,0,5,5,1,1,46,25,"flat",1,0,2.68889950044704e-05,0.999929585444298,0
68,56.6059608459,1,1,2,2,1,1,58,25,"flat",1,5.88934,0.00366795973570555,0.999999999910725,0
250,87.767074585,1,1,2,2,1,1,206,25,"flat",1,5.88934,0.00234863506038496,0.999999999936779,0
27,70.4600448608,1,1,2,2,1,1,68,25,"flat",1,5.88934,0.00300869847131402,0.999999999923423,0
162,9.81054210663,0,0,5,5,1,1,72,55,"flat",1,5.88934,0.00864481503971926,0.997778740024469,0
109,88.823425293,0,0,5,5,1,1,224,25,"flat",1,5.88934,0.003141429964023,0.998825593594284,0
235,9.18370628357,0,0,5,5,1,1,204,25,"flat",1,5.88934,0.00978378875181174,0.997167806109824,0
238,44.7211761475,1,1,2,2,1,1,66,25,"flat",1,5.88934,0.00434700102192465,0.999999999898167,0
75,23.0450134277,0,0,5,5,1,1,260,25,"flat",1,5.88934,0.00803333603506573,0.99756985431737,0
170,62.4417381287,0,0,5,5,1,1,25,25,"flat",1,0,0.00458036689717267,0.996287040408845,0
292,15.0531587601,0,0,5,5,1,1,48,25,"flat",1,0,0.0090006587571605,0.993740733180124,0
206,30.312915802,1,1,2,2,1,1,45,25,"flat",1,0,0.00534002087224994,0.993611328788954,0
45,16.0785751343,1,1,2,2,1,1,115,25,"flat",1,5.88934,0.00654215051487339,0.999999999860156,0
276,14.541844368,0,0,5,5,1,1,104,35,"flat",1,5.88934,0.00872568677660834,0.997532520021558,0
43,909.977172852,1,1,2,2,1,1,1,25,"flat",1,0,1.1719363268714e-06,0.999999622025634,0
113,12.6571102142,0,0,5,5,1,1,805,25,"flat",1,5.851331,0.00931255426123556,0.98292443418479,5.851331
38,103.201217651,1,1,2,2,1,1,604.666666666667,25,"flat",1,5.851331,0.00188294980887027,0.995462501969767,5.851331
194,3.18281126022,0,0,5,5,1,1,44,35,"flat",1,0,0.0102544955707238,0.993405092189862,0
245,90.7108612061,4,4,2,2,1,1,1397,45,"flat",1,5.851331,0.0597258972645829,0.740494606811053,5.851331
298,356.328857422,0,0,5,5,1,1,191.666666666667,25,"flat",1,5.88934,6.78385291402739e-05,0.9999392230139,0
119,36.8143386841,0,0,5,5,1,1,5,35,"flat",1,0,7.03886460229342e-09,0.995446451730516,0
290,16.66837883,0,0,5,5,1,1,60,25,"flat",1,5.88934,0.0087962678906397,0.997392505399586,0
24,287.465698242,1,1,2,2,1,1,160,25,"flat",1,5.88934,0.000134071276812198,0.999999999993075,0
148,171.24887085,1,1,2,2,1,1,138,25,"flat",1,5.88934,0.000710072583019139,0.999999999974918,0
240,83.7958831787,1,1,2,2,1,1,48,25,"flat",1,0,0.00248600860329395,0.996456545404089,0
307,78.7835464478,0,0,5,5,1,1,58,25,"flat",1,5.88934,0.00362644069320317,0.998687663901755,0
135,9.70617675781,0,0,5,5,1,1,74,25,"flat",1,5.88934,0.00971142530681957,0.997184099763621,0
140,539.87286377,0,0,5,5,1,1,1,35,"flat",1,0,2.22044604925031e-16,0.999982587049406,0
252,3.54707551003,4,4,2,2,1,1,1,25,"flat",1,0,1.17022669332556e-09,0.999999998829774,0
228,19.1933727264,1,1,2,2,1,1,774,35,"flat",1,5.851331,0.00602221292787519,0.989432942996806,5.851331
244,22.3620491028,4,4,2,2,1,1,264,25,"flat",1,5.88934,0.1546742414814,0.999999999769802,0
214,9.47547531128,0,0,5,5,1,1,216,25,"flat",1,5.88934,0.00974331245189464,0.997176916713445,0
5,104.475166321,1,1,2,2,1,1,26,35,"flat",1,0,0.00177895014191565,0.997393126764126,0
222,72.2387924194,1,1,2,2,1,1,50,35,"flat",1,0,0.00282224008821963,0.996278870381002,0
262,22.0637702942,0,0,5,5,1,1,219,25,"flat",1,5.88934,0.00814631475918759,0.997543368297197,0
197,8.16112327576,1,1,2,2,1,1,1454,25,"flat",1,5.851331,0.00732347600455652,0.98711005781826,5.851331
21,170.873092651,1,1,2,2,1,1,103,40,"flat",1,5.88934,0.000673733323665604,0.999999999977624,0
19,126.076332092,1,1,2,2,1,1,120,35,"flat",1,5.88934,0.00130544872917426,0.999999999961775,0
142,121.133468628,0,0,5,5,1,1,264,25,"flat",1,5.88934,0.00197829213319856,0.999178557428578,0
225,7.9903717041,1,1,2,2,1,1,359.333333333333,25,"flat",1,5.851331,0.00734130921777265,0.987085975652304,5.851331
174,91.1821289062,0,0,5,5,1,1,294,20,"flat",1,5.88934,0.00309627327243778,0.9988098640818,0
237,7.92354345322,0,0,5,5,1,1,82.5,25,"flat",1,5.88934,0.0099605284544616,0.997128119069947,0
85,59.671043396,0,0,5,5,1,1,188,25,"flat",1,5.88934,0.00476524758979269,0.99837881703298,0
145,3.96234059334,0,0,5,5,1,1,30,25,"flat",1,0,0.0105369303224774,0.992928533620053,0
172,18.8532028198,0,0,5,5,1,1,509,25,"flat",1,5.851331,0.00852710102375343,0.98403874051271,5.851331
287,46.5827560425,0,0,5,5,1,1,88,25,"flat",1,5.88934,0.00574406249166204,0.998126429054214,0
49,569.387878418,1,1,2,2,1,1,394,30,"flat",1,5.851331,2.3023684424528e-06,0.999974908070892,5.851331
270,12.1990938187,1,1,2,2,1,1,207,40,"flat",1,5.88934,0.0065272497136778,0.999999999870308,0
81,32.4910163879,0,0,5,5,1,1,68,20,"flat",1,5.88934,0.00715823382411407,0.997722818574802,0
293,150.141769409,0,0,5,5,1,1,78,25,"flat",1,5.88934,0.001305614000922,0.999404118000216,0
198,146.868377686,1,1,2,2,1,1,628,25,"flat",1,5.851331,0.00100717093974911,0.997197431914303,5.851331
46,10.3029947281,1,1,2,2,1,1,30,25,"flat",1,0,0.00710339950137662,0.992039135876179,0
308,3.28865528107,0,0,5,5,1,1,265,25,"flat",1,5.88934,0.0106381914207122,0.996977320036223,0
182,14.0488204956,0,0,5,5,1,1,179,35,"flat",1,5.88934,0.00878708942899875,0.997519044576347,0
107,10.9780673981,0,0,5,5,1,1,653,25,"flat",1,5.851331,0.00953747331511823,0.982609531781985,5.851331
93,80.5305633545,0,0,5,5,1,1,547,25,"flat",1,5.851331,0.00353698202507979,0.991874030646159,5.851331
190,11.9399776459,0,0,5,5,1,1,67,25,"flat",1,5.88934,0.00940796889662909,0.997252714992325,0
51,6.43882513046,1,1,2,2,1,1,40,25,"flat",1,0,0.00750533999268721,0.991693965325543,0
6,664.280395508,1,1,2,2,1,1,20.5,15,"flat",1,0,6.2519452004306e-07,0.999993785690212,0
